row_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodity,energy_type,unit,value,source,source_id
NRJ-e7e6a960-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Fuel consumption,GJ,4266454,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-e7e6a960-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Diesel,GJ,3947008,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-e7e6a960-2023-3,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Light Fuel & Gasoline,GJ,71904,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-e7e6a960-2023-4,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Propane,GJ,182468,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-e7e6a960-2023-5,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Explosives,GJ,65074,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-e7e6a960-2023-6,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Electricity consumption,kWh,830958937,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-e7e6a960-2023-7,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Electricity intensity,kWh/t ore processed,32.670089368553114,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-e7e6a960-2023-8,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Energy intensity,GJ/t ore processed,0.2853527738742617,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-1,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Fuel consumption,GJ,3694912,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-2,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Diesel,GJ,3590887,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-3,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Light Fuel & Gasoline,GJ,51161,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-4,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Propane,GJ,235,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-5,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Lubricating Oils & Greases,GJ,7311,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-6,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Explosives,GJ,45318,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-7,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Electricity consumption,kWh,164987364,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-8,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Electricity consumption|Generated on-site,kWh,164987364,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-9,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Electricity intensity,kWh/t ore processed,42.9,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-GRP-0a2c0d69-2023-10,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Energy intensity,GJ/t ore processed,0.96,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-aeafbb59-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Fuel consumption,GJ,1967646,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-aeafbb59-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Diesel,GJ,1944158,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-aeafbb59-2023-3,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Light Fuel & Gasoline,GJ,5290,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-aeafbb59-2023-4,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Explosives,GJ,18198,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-aeafbb59-2023-5,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Electricity consumption,kWh,132709926,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-aeafbb59-2023-6,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Electricity consumption|Generated on-site,kWh,132709926,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-aeafbb59-2023-7,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Electricity intensity,kWh/t ore processed,69.18668609046546,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-aeafbb59-2023-8,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Energy intensity,GJ/t ore processed,1.0258080178506015,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-1f126a43-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Fuel consumption,GJ,2764933.60937,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-1f126a43-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Diesel,GJ,2557832,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-1f126a43-2023-3,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Light Fuel & Gasoline,GJ,42833,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-1f126a43-2023-4,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Propane,GJ,1463.60937,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-1f126a43-2023-5,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Natural gas,GJ,162805,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-1f126a43-2023-6,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Electricity consumption,kWh,674524386,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-1f126a43-2023-7,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Electricity intensity,kWh/t ore processed,34.42341742720361,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-1f126a43-2023-8,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Energy intensity,GJ/t ore processed,0.2650288691731861,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-8b0264c9-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Fuel consumption,GJ,228083,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-8b0264c9-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Diesel,GJ,129455,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-8b0264c9-2023-3,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Light Fuel & Gasoline,GJ,1347,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-8b0264c9-2023-4,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Natural gas,GJ,86234,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-8b0264c9-2023-5,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Explosives,GJ,11047,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-8b0264c9-2023-6,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Electricity consumption,kWh,178921745,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-8b0264c9-2023-7,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Electricity intensity,kWh/t ore processed,61.97653235666382,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-8b0264c9-2023-8,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Energy intensity,GJ/t ore processed,0.30212087132290455,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-730aefe3-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Fuel consumption,GJ,508187,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-730aefe3-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Diesel,GJ,91423,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-730aefe3-2023-3,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Light Fuel & Gasoline,GJ,6440,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-730aefe3-2023-4,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Propane,GJ,658,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-730aefe3-2023-5,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Natural gas,GJ,327090,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-730aefe3-2023-6,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Explosives,GJ,82576,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-730aefe3-2023-7,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Electricity consumption,kWh,182554670,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-730aefe3-2023-8,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Electricity intensity,kWh/t ore processed,413.40496118553943,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-730aefe3-2023-9,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Energy intensity,GJ/t ore processed,2.639075337192134,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-4ea8ac9d-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Fuel consumption,GJ,703190,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-4ea8ac9d-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Diesel,GJ,391146,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-4ea8ac9d-2023-3,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Light Fuel & Gasoline,GJ,8329,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-4ea8ac9d-2023-4,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Natural gas,GJ,297435,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-4ea8ac9d-2023-5,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Explosives,GJ,6280,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-4ea8ac9d-2023-6,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Electricity consumption,kWh,469220285,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-4ea8ac9d-2023-7,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Electricity intensity,kWh/t ore processed,176.50503987130364,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-4ea8ac9d-2023-8,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Energy intensity,GJ/t ore processed,0.8999347860726632,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
NRJ-7607a50e-2023-1,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Electricity generated on-site,GJ,717,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-7607a50e-2023-2,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Diesel,GJ,211308,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-7607a50e-2023-3,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Fuel consumption|Gasoline,GJ,14406,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-7607a50e-2023-4,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Propane,GJ,72011,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-7607a50e-2023-5,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Electricity consumption,GJ,334179,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-7607a50e-2023-6,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Energy intensity,GJ/t ore mined,1.47,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-7607a50e-2023-7,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Energy intensity,GJ/oz gold produced,4.89,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-687b8c8d-2023-1,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Electricity generated on-site,GJ,475,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-687b8c8d-2023-2,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Diesel,GJ,140100,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-687b8c8d-2023-3,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Fuel consumption|Gasoline,GJ,2124,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-687b8c8d-2023-4,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Fuel consumption|Naphta,GJ,6344,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-687b8c8d-2023-5,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Natural gas,GJ,221612,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-687b8c8d-2023-6,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Electricity consumption,GJ,960748,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-687b8c8d-2023-7,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Energy intensity,GJ/t ore mined,0.47,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-687b8c8d-2023-8,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Energy intensity,GJ/oz gold produced,7.24,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
NRJ-CMP-140e111b-2023-1,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Natural gas,tGJ,86073,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
NRJ-CMP-140e111b-2023-2,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Coal,tGJ,62126,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
NRJ-CMP-140e111b-2023-3,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Oil,tGJ,11721,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
NRJ-CMP-140e111b-2023-4,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Other renewables,tGJ,123,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
NRJ-CMP-140e111b-2023-5,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Diesel,tGJ,4411,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
NRJ-CMP-140e111b-2023-6,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Propane,tGJ,601,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
NRJ-CMP-140e111b-2023-7,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Distillates,tGJ,17,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
