main_id,facility_name,reported_company,longitude,latitude,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,primary_commodity,commodities,source,source_df,geometry,cluster_id
QC-MAIN-5801b453,Abcourt-Barvue,Abcourt Mines Inc.,-77.67901,48.52154,,Quebec,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, silver",,nrcan_critical_df,POINT (1266125.694144 120209.640134),0
QC-MAIN-d29e0839,Sleeping Giant,Abcourt Mines Inc.,-77.97434,49.13259,north of Amos,Quebec,active_facility,,,mining,Concentrator,Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (1227075.587525 179956.966546),1
QC-MAIN-f1ff4920,Akasaba West,Agnico Eagle Mines Limited,-77.58,48.04,,Quebec,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",,nrcan_critical_df,POINT (1287705.022274 70489.379399),2
NU-MAIN-4ea8ac9d,Amaruq,Agnico Eagle Mines Limited,-96.697,65.415,Baker Lake,Nunavut,active_facility,,,mining,"Open-pit, underground",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-76411.705195 1790828.006583),No cluster
QC-MAIN-e7e6a960,Canadian Malartic,Agnico Eagle Mines Limited,-78.130824,48.122223,Malartic,Quebec,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (1245557.716157 68365.16292),2
ON-MAIN-aeafbb59,Detour Lake,Agnico Eagle Mines Limited,-79.717631,50.018143,Northeast of Cochrane,Ontario,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (1080616.478023 243464.389162),3
QC-MAIN-c0660aec,Goldex,Agnico Eagle Mines Limited,-77.8733,48.0926,Val-d’Or,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (1264993.502609 70259.206193),2
QC-MAIN-e51eda66,LaRonde,Agnico Eagle Mines Limited,-78.428,48.2516,Preissac,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, zinc, copper, silver, cadmium",,nrcan_mining_df,POINT (1220400.87327 76541.161643),4
ON-MAIN-1f126a43,Macassa,Agnico Eagle Mines Limited,-80.071637,48.142528,Kirkland Lake area,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (1104546.036526 34703.459587),5
NU-MAIN-730aefe3,Meadowbank,Agnico Eagle Mines Limited,-96.071313,65.0199956,Baker Lake,Nunavut,active_facility,,,mining,Concentrator,Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-48961.205076 1747518.920397),6
NU-MAIN-8b0264c9,Meliadine,Agnico Eagle Mines Limited,-92.220206,63.031529,Rankin Inlet,Nunavut,active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (136397.153884 1535177.170149),7
MB-MAIN-5d21dbd5,Monument Bay,Agnico Eagle Mines Limited,-92.914016,54.446415,,Manitoba,project_facility,Active,Advanced project,project,,,Gold,"Gold, tungsten",,nrcan_critical_df,POINT (132924.257778 602481.929231),No cluster
ON-MAIN-74997012,Upper Beaver,Agnico Eagle Mines Limited,-79.76,48.16,,Ontario,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",,nrcan_critical_df,POINT (1126703.096286 42064.22431),No cluster
ON-MAIN-687b8c8d,Island,Alamos Gold Inc.,-84.449604,48.285667,Dubreuilville,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (781590.447458 -14576.886336),8
ON-MAIN-7607a50e,Young-Davidson,Alamos Gold Inc.,-80.67444,47.94667,Matachewan,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (1065599.815306 3134.546759),9
QC-MAIN-52c01ae4,Baie-Comeau,Alcoa Corporation,-68.1491,49.2562,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Aluminum (pure or alloyed),,nrcan_manufacturing_df,POINT (1895224.104156 434554.886683),No cluster
QC-MAIN-eac5a52b,Deschambault,Alcoa Corporation,-71.9467,46.6939,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure),Aluminum (pure),,nrcan_manufacturing_df,POINT (1741498.655151 61484.159298),No cluster
QC-MAIN-81a288d0,Elysis,Alcoa Corporation / Rio Tinto Aluminum Inc.,-71.17565,48.43214,,Quebec,project_facility,Active,Advanced processing project,project,,,Aluminum,Aluminum,,nrcan_critical_df,POINT (1725922.634485 263845.306384),10
QC-MAIN-c8966bdc,Bécancour,Alcoa Corporation and Rio Tinto Aluminum Inc.,-72.3852,46.381,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Aluminum (pure or alloyed),,nrcan_manufacturing_df,POINT (1722027.794385 16645.3431),11
ON-MAIN-eab8c362,Algoma Steel,Algoma Steel Inc.,-84.36664,46.52055,,Ontario,active_facility,,,manufacturing,Basic oxygen furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (820546.940912 -208323.90883),12
QC-MAIN-8c7063b2,James Bay Lithium,Allkem Limited,-77.06667,52.23333,,Quebec,project_facility,Active,Advanced project,project,,,Lithium (spodumene),Lithium (spodumene),,nrcan_critical_df,POINT (1195412.126939 527220.01716),No cluster
BC-MAIN-3ef4f421,Avanti Kitsault,Alloycorp Mining Inc.,-129.419,55.422,,British Columbia,project_facility,Active,Advanced project,project,,,Molybdenum,"Molybdenum, silver, lead",,nrcan_critical_df,POINT (-2033266.465372 1270825.98379),13
AB-MAIN-9fed34a8,AltaSteel,AltaSteel Inc.,-113.387962,53.492783,,Alberta,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-1185449.179233 668441.907427),No cluster
NB-MAIN-9e0c4fb2,AIM Recycling Atlantic,American Iron & Metal Co. Inc.,-66.064603,45.261306,,New Brunswick,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (2229033.282061 97051.574165),No cluster
ON-MAIN-9623499f,AIM Recycling Hamilton,American Iron & Metal Co. Inc.,-79.778036,43.259378,,Ontario,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (1256352.425673 -494982.806508),14
QC-MAIN-abe563b5,AIM Recycling La Prairie,American Iron & Metal Co. Inc.,-73.500867,45.396324,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (1677196.826362 -117464.439784),15
QC-MAIN-a1159813,AIM Recycling Laval,American Iron & Metal Co. Inc.,-73.644813,45.66641,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (1656356.619032 -92483.725865),16
QC-MAIN-15d7c629,AIM Recycling Lévis,American Iron & Metal Co. Inc.,-71.177734,46.74789,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (1794676.916775 88511.711034),No cluster
QC-MAIN-41bf5ea5,AIM Recycling Montréal-Est,American Iron & Metal Co. Inc.,-73.5522,45.6309,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (1664590.662121 -93844.882272),16
ON-MAIN-8056a739,AIM Recycling Ottawa East,American Iron & Metal Co. Inc.,-75.606364,45.407485,,Ontario,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (1517977.398043 -169157.456396),17
QC-MAIN-30ff61c3,Contrecœur-Feruni,ArcelorMittal,-73.260949,45.83316,,Quebec,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (1678674.512265 -64697.291061),18
QC-MAIN-33c09b8b,Fire Lake,ArcelorMittal,-67.363935,52.352998,Fermont,Quebec,active_facility,,,mining,Open-pit,Iron ore,Iron,Iron,,nrcan_mining_df,POINT (1803093.22497 768730.149327),19
QC-MAIN-084bd95c,Mont-Wright,ArcelorMittal,-67.330058,52.757053,Fermont,Quebec,active_facility,,,mining,"Open-pit, concentrator",Iron ore,Iron,Iron,,nrcan_mining_df,POINT (1786446.215621 809965.888617),20
QC-MAIN-1eee4ace,Contrecœur East,ArcelorMittal Long Products Canada,-73.249081,45.837723,,Quebec,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (1679382.593828 -63899.751921),18
QC-MAIN-844dcc47,Contrecœur West,ArcelorMittal Long Products Canada,-73.263268,45.819938,,Quebec,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (1679001.623951 -66161.817799),18
QC-MAIN-e25eed27,Port-Cartier,ArcelorMittal Mining Canada,-66.797531,50.03213,,Quebec,active_facility,,,manufacturing,Pelletizing plant,Iron ore,Iron ore,Iron ore,,nrcan_manufacturing_df,POINT (1947519.204396 553541.395787),21
ON-MAIN-4c35e094,ArcelorMittal Dofasco,ArcelorMittal S.A.,-79.805204,43.269132,,Ontario,active_facility,,,manufacturing,"Basic oxygen furnace, electric arc furnace",Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (1253889.817629 -494438.474366),14
ON-MAIN-8825d90d,Magino,Argonaut Gold Inc.,-84.45744,48.28869,Timmins,Ontario,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (780959.654479 -14340.664961),8
SK-MAIN-de2e2f8e,Prairie Lithium,Arizona Lithium Ltd,-103.63518,49.21363,,Saskatchewan,project_facility,Active,Advanced unconventional project,project,,,Lithium (brine),Lithium (brine),,nrcan_critical_df,POINT (-626698.279757 66354.177718),No cluster
ON-MAIN-e928d96a,Brampton,Asahi Refining Canada Ltd.,-79.722125,43.691066,,Ontario,active_facility,,,manufacturing,Refinery,Precious metals,Gold,"Gold, silver",,nrcan_manufacturing_df,POINT (1249181.918281 -446121.812663),22
NB-MAIN-e55cb3d1,Millstream,Atlantic Potash Corporation,-65.63,45.705,,New Brunswick,project_facility,Active,Advanced project,project,,,Potash,Potash,,nrcan_critical_df,POINT (2237816.788325 157204.387053),No cluster
NT-MAIN-4f11f183,Nechalacho - Basal Zone,Avalon Advanced Materials Inc.,-112.59972,62.11806,,Northwest Territories,project_facility,Active,Advanced project,project,,,Rare earth elements,"Rare earth elements, niobium, tantalum, zirconium",,nrcan_critical_df,POINT (-879840.710142 1555960.825881),23
ON-MAIN-46f71d5b,Separation Rapids,Avalon Advanced Materials Inc.,-94.58258,50.266,,Ontario,project_facility,Active,Advanced project,project,,,Lithium (spodumene),Lithium (spodumene),,nrcan_critical_df,POINT (29621.3082 140567.863796),No cluster
SK-MAIN-f79436ec,Jansen,BHP Group,-104.71415,51.8991,,Saskatchewan,project_facility,Active,Advanced project,project,,,Potash,Potash,,nrcan_critical_df,POINT (-659240.492309 371224.860554),No cluster
YT-MAIN-2cc9bb06,Kudz Ze Kayah,BMC (UK) Limited,-130.59894,61.47108,,Yukon,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, copper, silver, gold",,nrcan_critical_df,POINT (-1747067.315122 1865563.319463),No cluster
NU-MAIN-5154702a,Mary River,Baffinland Iron Mines Corporation,-78.556869,71.340446,Pond Inlet,Nunavut,active_facility,,,mining,Open-pit,Iron ore,Iron,Iron,,nrcan_mining_df,POINT (567925.230871 2506457.043827),No cluster
ON-MAIN-6e9be24e,Hemlo (Williams),Barrick Gold Corporation,-85.91598,48.695726,Marathon,Ontario,active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (667255.735811 13871.382079),24
AB-MAIN-8434dce0,Baymag,Baymag Inc.,-115.210061,51.060022,,Alberta,active_facility,,,manufacturing,Plant,Base metals,Magnesium oxide,Magnesium oxide,,nrcan_manufacturing_df,POINT (-1382736.510687 449800.464696),No cluster
NL-MAIN-895cb178,Buchans River,Buchans Resources Limited,-56.855965,48.829018,,Newfoundland and Labrador,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, copper, silver, gold",,nrcan_critical_df,POINT (2637493.471531 796405.106378),25
NT-MAIN-6c1d6ee6,Ekati,Burgundy Diamond Mines,-110.618,64.715,Lac de Gras,Northwest Territories,active_facility,,,mining,"Underground, plant",Diamonds,Diamonds,Diamonds,,nrcan_mining_df,POINT (-714671.077685 1802323.845423),26
QC-MAIN-715d4318,Horizon,CVW CleanTech Inc.,-73.450825,45.57462,,Alberta,project_facility,Active,Advanced unconventional project,project,,,Zircon,"Zircon, titanium, rare earth elements",,nrcan_critical_df,POINT (1674265.055012 -97171.335323),16
AB-MAIN-2951d12e,Calgary Facility,Calgary Metal Recycling Inc.,-114.031993,51.02419,,Alberta,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-1305799.67258 421132.047099),27
NB-MAIN-0c5b40d8,Nash Creek,Callinex Mines Inc.,-66.09771,47.88939,,New Brunswick,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, silver",,nrcan_critical_df,POINT (2097128.708051 361062.505456),No cluster
ON-MAIN-484e4fa3,Blind River,Cameco Corporation,-83.017246,46.180896,,Ontario,active_facility,,,manufacturing,Refinery,Uranium,Uranium (trioxide),Uranium (trioxide),,nrcan_manufacturing_df,POINT (930661.00466 -227322.770273),No cluster
SK-MAIN-91cf5448,Cigar Lake,Cameco Corporation,-104.54123,58.06819,Waterbury Lake,Saskatchewan,active_facility,,,mining,Underground,Uranium,Uranium,Uranium,,nrcan_mining_df,POINT (-546861.919507 1035932.346246),28
SK-MAIN-bb89158f,Key Lake,Cameco Corporation,-105.647,57.207,north of Highrock Lake,Saskatchewan,active_facility,,,mining,Concentrator,Uranium,Uranium,Uranium,,nrcan_mining_df,POINT (-625266.534042 953729.576514),29
SK-MAIN-d3c471e8,McArthur River,Cameco Corporation,-105.053,57.7637,north of Key Lake,Saskatchewan,active_facility,,,mining,Underground,Uranium,Uranium,Uranium,,nrcan_mining_df,POINT (-581160.377723 1007795.567539),30
ON-MAIN-237587f6,Port Hope,Cameco Corporation,-78.2943,43.9429,,Ontario,active_facility,,,manufacturing,Conversion facility,Uranium,Uranium (hexafluoride,"Uranium (hexafluoride, dioxide, metals, alloys)",,nrcan_manufacturing_df,POINT (1355914.201238 -389145.425905),No cluster
ON-MAIN-4c5c1179,Crawford,Canada Nickel Company Inc.,-81.37309,48.83972,,Ontario,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, iron ore, cobalt, palladium, platinum, chromite",,nrcan_critical_df,POINT (993286.078173 88979.105331),31
NB-MAIN-8e04eb21,Murray Brook,Canadian Copper,-66.43167,47.52528,,New Brunswick,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, silver, copper, gold",,nrcan_critical_df,POINT (2092228.494795 313452.582004),32
ON-MAIN-37e9571e,Thierry,Canadian Critical Minerals Inc,-90.34694,51.49667,,Ontario,project_facility,Active,Advanced project,project,,,Copper,"Copper, nickel, silver, gold, platinum, palladium",,nrcan_critical_df,POINT (319964.423425 288148.541519),33
NB-MAIN-3e7d42ac,Woodstock,Canadian Manganese Company Inc.,-67.64,46.18,,New Brunswick,project_facility,Active,Advanced project,project,,,Manganese,"Manganese, iron ore",,nrcan_critical_df,POINT (2072313.574529 137354.363722),34
NU-MAIN-eae1621e,Ferguson Lake,Canadian North Resources Inc.,-96.83306,62.87306,,Nunavut,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, copper, palladium, platinum, cobalt",,nrcan_critical_df,POINT (-90453.139633 1516371.751284),No cluster
QC-MAIN-5ce331b8,Nunavik Nickel,Canadian Royalties Inc.,-74.1375,61.420856,Kangiqsujuaq,Quebec,active_facility,,,mining,"Open-pit, underground, concentrator",Base metals,Nickel,"Nickel, copper, platinum group metals, cobalt",,nrcan_mining_df,POINT (1061829.392766 1533774.70592),No cluster
BC-MAIN-eba3e309,Golden Crown,Canxgold Mining Corp.,-118.59,49.09,,British Columbia,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",,nrcan_critical_df,POINT (-1683195.821229 325763.463443),35
BC-MAIN-e34feb4d,Kemess,Centerra Gold Inc.,-126.77117,57.05037,,British Columbia,project_facility,Active,Advanced project,project,,,Copper,"Copper, gold, silver",,nrcan_critical_df,POINT (-1805742.048997 1344842.971621),36
BC-MAIN-ed23117f,Mount Milligan,Centerra Gold Inc.,-124.031,55.118,Fort St. James,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals and precious metals,Copper,"Copper, gold, silver",,nrcan_mining_df,POINT (-1754343.264119 1081142.996039),37
QC-MAIN-089f3c60,Bloom Lake,Champion Iron Ltd.,-67.28,52.84,Fermont,Quebec,active_facility,,,mining,Open-pit,Iron ore,Iron,Iron,,nrcan_mining_df,POINT (1785625.059941 819632.09462),20
NL-MAIN-251d6364,Beaver Brook,China Minmetals Rare Earth Group Co. Ltd.,-55.196,48.715909,Glenwood,Newfoundland and Labrador,active_facility,,,mining,"Underground, concentrator",Other metals,Antimony,Antimony,,nrcan_mining_df,POINT (2744636.433229 856339.289078),No cluster
ON-MAIN-be399420,Thunder Bay North,Clean Air Metals Inc.,-88.931,48.79,,Ontario,project_facility,Active,Advanced project,project,,,Platinum,"Platinum, palladium, gold, nickel, copper, silver, rhodium, cobalt",,nrcan_critical_df,POINT (445631.920064 -2086.960933),No cluster
QC-MAIN-3330383b,Eldor (Ashram),Commerce Resources Corp.,-68.40417,56.94583,,Quebec,project_facility,Active,Advanced project,project,,,Rare earth elements,Rare earth elements,,nrcan_critical_df,POINT (1535416.82569 1198637.715913),No cluster
MB-MAIN-6fca9d6d,Lynn Lake,Corazon Mining Limited,-101.03486,56.85217,,Manitoba,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, copper, cobalt",,nrcan_critical_df,POINT (-359191.782057 879737.075056),38
QC-MAIN-d4e2812a,Rose,Critical Elements Lithium Corporation,-76.172,52.022485,,Quebec,project_facility,Active,Advanced project,project,,,Lithium (spodumene),"Lithium (spodumene), tantalum",,nrcan_critical_df,POINT (1260109.499621 522247.417954),No cluster
AB-MAIN-9a0307f6,SBH Black Shale,Critical Minerals Americas Inc,-111.90375,57.68711,,Alberta,project_facility,Active,Advanced unconventional project,project,,,Vanadium,"Vanadium, zinc, nickel, uranium, copper, cobalt, rare earth elements, scandium, lithium, molybdenum",,nrcan_critical_df,POINT (-971955.214349 1083370.754002),No cluster
NT-MAIN-94e652a5,Gahcho Kué,De Beers Canada Inc.,-109.21194,63.44528,Lac de Gras,Northwest Territories,active_facility,,,mining,"Open-pit, plant",Diamonds,Diamonds,Diamonds,,nrcan_mining_df,POINT (-681866.165234 1653408.831126),39
BC-MAIN-382acb18,Wicheeda,Defense Metals Corp.,-122.09912,54.53141,,British Columbia,project_facility,Active,Advanced project,project,,,Rare earth elements,Rare earth elements,,nrcan_critical_df,POINT (-1671516.131295 971152.918193),No cluster
SK-MAIN-4aef3cb2,Waterbury,Denison Mines Corp.,-104.03032,58.3478,,Saskatchewan,project_facility,Active,Advanced project,project,,,Uranium,Uranium,,nrcan_critical_df,POINT (-513486.964048 1061701.464715),40
SK-MAIN-95ec2625,Wheeler River,Denison Mines Corp.,-105.38137,57.50888,,Saskatchewan,project_facility,Active,Advanced project,project,,,Uranium,Uranium,,nrcan_critical_df,POINT (-604475.655053 983527.621338),No cluster
BC-MAIN-51068f3b,Kitsault Valley,Dolly Varden Silver Corporation,-129.57778,55.75361,,British Columbia,project_facility,Active,Advanced project,project,,,Gold,"Gold, silver, copper, lead",,nrcan_critical_df,POINT (-2022997.615373 1306867.533329),No cluster
AB-MAIN-7d4a0421,Bashaw District,E3 Lithium Ltd,-113.93655,51.77696,,Alberta,project_facility,Active,Advanced unconventional project,project,,,Lithium (brine),Lithium (brine),,nrcan_critical_df,POINT (-1275090.758781 498554.33912),No cluster
SK-MAIN-26b9aaf3,EVRAZ Regina,EVRAZ North America Inc.,-104.623843,50.515263,,Saskatchewan,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-676179.681097 219306.926173),41
AB-MAIN-575ff9de,GenAlta Recycling Inc.,EVRAZ North America Inc.,-113.274102,53.588119,,Alberta,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-1175351.311918 676348.035726),No cluster
MB-MAIN-c3d6d0d2,General Scrap,EVRAZ North America Inc.,-97.019187,49.928603,,Manitoba,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-144450.477144 105388.780278),42
AB-MAIN-2a44a3b1,Navajo Metals Inc.,EVRAZ North America Inc.,-114.032869,51.001803,,Alberta,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-1306586.768481 418787.585957),27
SK-MAIN-5faf4b42,Wheat City Metals Inc.,EVRAZ North America Inc.,-104.639712,50.525046,,Saskatchewan,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-677122.733499 220545.502901),41
QC-MAIN-f9e41c2a,Lamaque,Eldorado Gold,-77.739624,48.079221,Val-d’Or,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (1275024.562932 71489.444079),2
ON-MAIN-6664e89b,Battery Materials Park,Electra Battery Materials Corporation,-79.62229,47.40635,,Ontario,project_facility,Active,Advanced processing project,project,,,Cobalt,"Cobalt, nickel, lithium",,nrcan_critical_df,POINT (1156846.132715 -37242.583906),43
QC-MAIN-5398dfac,Elkem Chicoutimi,Elkem Metal Canada Inc.,-71.131239,48.412769,,Quebec,active_facility,,,manufacturing,,Ferroalloys,Ferrosilicon,Ferrosilicon,,nrcan_manufacturing_df,POINT (1729778.902296 263042.748234),10
SK-MAIN-8daee686,Muskowekwan,Encanto Potash Corporation,-104.01827,51.33382,,Saskatchewan,project_facility,Active,Advanced project,project,,,Potash,Potash,,nrcan_critical_df,POINT (-621149.102646 302586.852926),No cluster
QC-MAIN-2cf66e65,Becancour Plant,Euro Manganese Inc,-72.433334,46.333332,,Quebec,project_facility,Active,Advanced processing project,project,,,Manganese sulphate,Manganese sulphate,,nrcan_critical_df,POINT (1720378.969027 10319.758662),11
ON-MAIN-7f050560,Red Lake,Evolution Mining Ltd.,-93.732922,51.050557,Balmertown,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (88182.264551 228093.030066),44
BC-MAIN-e1641dfb,Decar,FPX Nickel Corp.,-125.359691,54.894513,,British Columbia,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, cobalt",,nrcan_critical_df,POINT (-1839806.228703 1096886.843296),No cluster
QC-MAIN-c1cc9f7c,Becancour Silicon,Ferroglobe PLC,-72.39,46.37,,Quebec,active_facility,,,manufacturing,,Ferroalloys,Silicon metal,"Silicon metal, ferrosilicon",,nrcan_manufacturing_df,POINT (1722108.054594 15356.490188),11
NL-MAIN-c139de6d,Ming,FireFly Metals Ltd.,-56.087,49.915,Baie Verte,Newfoundland and Labrador,active_facility,,,mining,Underground,Base metals,Copper,"Copper, gold, silver",,nrcan_mining_df,POINT (2614669.190771 927305.833684),45
NL-MAIN-842ba1b4,Nugget Pond,FireFly Metals Ltd.,-55.7753,49.845,Snook’s Arm,Newfoundland and Labrador,active_facility,,,mining,Concentrator,Base metals,Copper,Copper,,nrcan_mining_df,POINT (2637389.009886 933832.97536),46
YT-MAIN-ca488f19,Macmillan Pass,Fireweed Metals Corp.,-130.15143,63.16057,,Yukon,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, silver",,nrcan_critical_df,POINT (-1631523.799618 2008802.923767),No cluster
YT-MAIN-70d629b4,Mactung,Fireweed Metals Corp.,-130.1525,63.2822222222,,Yukon,project_facility,Active,Advanced project,project,,,Tungsten,Tungsten,,nrcan_critical_df,POINT (-1624666.289501 2020020.952626),No cluster
AB-MAIN-4eee18d1,Worsley,First Helium Inc.,-119.1341,56.507923,,Alberta,project_facility,Active,Advanced project,project,,,Helium,Helium,,nrcan_critical_df,POINT (-1418212.078821 1097551.532451),No cluster
BC-MAIN-efff21d3,Deer Horn,First Tellurium Corp.,-127.30826,53.3607,,British Columbia,project_facility,Active,Advanced project,project,,,Gold,"Gold, silver, tellurium, copper, zinc, lead",,nrcan_critical_df,POINT (-2029554.36291 1008229.065225),No cluster
SK-MAIN-0684a5d8,Patterson Lake South,Fission Uranium Corp.,-109.364,57.639,,Saskatchewan,project_facility,Active,Advanced project,project,,,Uranium,Uranium,,nrcan_critical_df,POINT (-829808.890241 1042323.804105),No cluster
MB-MAIN-f7fde5b4,Minago,Flying Nickel Mining Corp.,-99.21912,54.1092,,Manitoba,project_facility,Active,Advanced project,project,,,Nickel,Nickel,,nrcan_critical_df,POINT (-271149.625535 572405.014227),No cluster
QC-MAIN-ae473a4e,Lac Knife,Focus Graphite Inc.,-67.18179,52.54974,,Quebec,project_facility,Active,Advanced project,project,,,Graphite,Graphite,,nrcan_critical_df,POINT (1805050.642255 793504.637263),47
SK-MAIN-7a11ae49,McIlvenna Bay,Foran Mining Corporation,-102.89498,54.65977,,Saskatchewan,project_facility,Active,Advanced project,project,,,Copper,"Copper, zinc, gold, silver, lead",,nrcan_critical_df,POINT (-498999.624674 654637.080804),48
AB-MAIN-ca9625ce,Fortune Minerals Refinery,Fortune Minerals Limited,-112.513502,53.797615,,Alberta,project_facility,Active,Advanced processing project,project,,,Cobalt,"Cobalt, gold, bismuth, copper",,nrcan_critical_df,POINT (-1121460.930829 684667.674362),No cluster
