row_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_processing_type,commodity,reserves_resources,reserves_resources_type,ore,ore_unit,grade,grade_unit,metal_content,metal_content_unit,norm,recovery_rate,comment,source,Unnamed: 21
RES-d29e0839-2022-1,2022,Site-specific,Abcourt Mines Inc,Sleeping Giant,QC-MAIN-d29e0839,-,mining,Concentrator,Gold,Resources,Indicated,755000,Mt,7.14,g/t,173300.0,oz,,,,TR_Abcourt_Geant_Dormant_2023,
RES-d29e0839-2022-2,2022,Site-specific,Abcourt Mines Inc,Sleeping Giant,QC-MAIN-d29e0839,-,mining,Concentrator,Gold,Resources,Inferred,884000,Mt,8.74,g/t,248300.0,oz,,,,TR_Abcourt_Geant_Dormant_2023,
RES-e7e6a960-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Reserves,Proven,128454,kt,0.81,g/t,3333.0,kOz Au,,92.0,,2024_MRMR,
RES-e7e6a960-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Reserves,Probable ,666651,kt,0.73,g/t,15718.0,kOz Au,,92.0,,2024_MRMR,
RES-e7e6a960-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Resources,Measured,33923,kt,1.1,g/t,1201.0,kOz Au,,,,2024_MRMR,
RES-e7e6a960-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Resources,Indicated,661068,kt,0.69,g/t,14592.0,kOz Au,,,,2024_MRMR,
RES-e7e6a960-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Resources,Inferred,125335,kt,1.67,g/t,6742.0,kOz Au,,,,2024_MRMR,
RES-aeafbb59-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Reserves,Proven,1990,kt,6.37,g/t,407.0,kOz Au,,96.0,,2024_MRMR,
RES-aeafbb59-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Reserves,Probable ,17798,kt,5.17,g/t,2958.0,kOz Au,,96.0,,2024_MRMR,
RES-aeafbb59-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Resources,Measured,525,kt,4.53,g/t,76.0,kOz Au,,,,2024_MRMR,
RES-aeafbb59-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Resources,Indicated,13416,kt,3.8,g/t,1638.0,kOz Au,,,,2024_MRMR,
RES-aeafbb59-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Resources,Inferred,11696,kt,5.92,g/t,2225.0,kOz Au,,,,2024_MRMR,
RES-1f126a43-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Reserves,Proven,40419,kt,0.52,g/t,680.0,kOz Au,,93.23333333333335,,2024_MRMR,
RES-1f126a43-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Reserves,Probable ,87128,kt,2.43,g/t,6818.0,kOz Au,,93.23333333333335,,2024_MRMR,
RES-1f126a43-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Resources,Indicated,52873,kt,1.9,g/t,3232.0,kOz Au,,,,2024_MRMR,
RES-1f126a43-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Resources,Inferred,144334,kt,2.12,g/t,9857.0,kOz Au,,,,2024_MRMR,
RES-8b0264c9-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver",Reserves,Proven,6318,kt,1.34,g/t,273.0,kOz Au,,81.95,,2024_MRMR,
RES-8b0264c9-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver",Reserves,Probable ,14085,kt,1.44,g/t,654.0,kOz Au,,81.95,,2024_MRMR,
RES-8b0264c9-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver",Resources,Measured,12360,kt,1.86,g/t,739.0,kOz Au,,,,2024_MRMR,
RES-8b0264c9-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver",Resources,Indicated,22270,kt,1.33,g/t,955.0,kOz Au,,,,2024_MRMR,
RES-8b0264c9-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver",Resources,Inferred,16946,kt,1.62,g/t,885.0,kOz Au,,,,2024_MRMR,
RES-730aefe3-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,mining,Concentrator,"Gold, silver",Reserves,Proven,352,kt,12.65,g/t,143.0,kOz Au,,,,2024_MRMR,
RES-730aefe3-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,mining,Concentrator,"Gold, silver",Reserves,Probable ,6675,kt,9,g/t,1931.0,kOz Au,,,,2024_MRMR,
RES-730aefe3-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,mining,Concentrator,"Gold, silver",Resources,Measured,278,kt,8.46,g/t,76.0,kOz Au,,,,2024_MRMR,
RES-730aefe3-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,mining,Concentrator,"Gold, silver",Resources,Indicated,3144,kt,7.05,g/t,712.0,kOz Au,,,,2024_MRMR,
RES-730aefe3-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,mining,Concentrator,"Gold, silver",Resources,Inferred,5524,kt,7.44,g/t,1322.0,kOz Au,,,,2024_MRMR,
RES-4ea8ac9d-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Reserves,Proven,7424,kt,2.98,g/t,712.0,kOz Au,,94.6,,2024_MRMR,
RES-4ea8ac9d-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Reserves,Probable,12574,kt,5.02,g/t,2028.0,kOz Au,,94.6,,2024_MRMR,
RES-4ea8ac9d-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Resources,Indicated,16945,kt,2.79,g/t,1522.0,kOz Au,,,,2024_MRMR,
RES-4ea8ac9d-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Resources,Inferred,8806,kt,4.38,g/t,1240.0,kOz Au,,,,2024_MRMR,
RES-GRP-0a2c0d69-2024-1,2024,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,mining,"Open-pit, underground, concentrator",Gold,Reserves,Proven,3355,kt,1.86,g/t,200.0,kOz Au,,90.7,,2024_MRMR,
RES-GRP-0a2c0d69-2024-2,2024,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,mining,"Open-pit, underground, concentrator",Gold,Reserves,Probable,11516,kt,3.8,g/t,1408.0,kOz Au,,90.7,,2024_MRMR,
RES-GRP-0a2c0d69-2024-3,2024,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,mining,"Open-pit, underground, concentrator",Gold,Resources,Indicated,9915,kt,4.01,g/t,1277.0,kOz Au,,,,2024_MRMR,
RES-GRP-0a2c0d69-2024-4,2024,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,mining,"Open-pit, underground, concentrator",Gold,Resources,Inferred,3960,kt,4.65,g/t,592.0,kOz Au,,,,2024_MRMR,
RES-7607a50e-2024-1,2024,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,mining,"Underground, concentrator",Gold,Reserves,Proven & Probable,6232,kt,11.4,g/t,2285.0,kOz Au,,,,Data_2023.xlsx,
RES-687b8c8d-2024-1,2024,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,mining,"Underground, concentrator",Gold,Reserves,Proven & Probable,41756,kt,2.26,g/t,3030.0,kOz Au,,,,Data_2023.xlsx,
RES-7607a50e-2024-2,2024,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,mining,"Underground, concentrator",Gold,Resources,Measured & Indicated,2113,kt,8.76,g/t,601.0,kOz Au,,,,Data_2023.xlsx,
RES-687b8c8d-2024-2,2024,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,mining,"Underground, concentrator",Gold,Resources,Measured & Indicated,12825,kt,2.87,g/t,1186.0,kOz Au,,,,Data_2023.xlsx,
RES-x-2024-1,2024,Facility-group,ArcelorMittal,AMCC,-,x,mining,,Iron,Reserves,Proven,1580,Mt,29.1,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,
RES-x-2024-2,2024,Facility-group,ArcelorMittal,AMCC,-,x,mining,,Iron,Reserves,Probable,155,Mt,28.8,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,
RES-x-2024-3,2024,Facility-group,ArcelorMittal,AMCC,-,x,mining,,Iron,Resources,Measured,1582,Mt,27.1,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,
RES-x-2024-4,2024,Facility-group,ArcelorMittal,AMCC,-,x,mining,,Iron,Resources,Indicated,1598,Mt,28.9,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,
RES-x-2024-5,2024,Facility-group,ArcelorMittal,AMCC,-,x,mining,,Iron,Resources,Inferred,1642,Mt,27.7,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,
RES-5154702a-2023-1,2023,Site-specific,Baffinland Iron Mines Corporation,Mary River,NU-MAIN-5154702a,-,mining,Open-pit,Iron,Reserves,Proven+Probable,663000,Mt,,,,,,,Reported by Arcelor Mittal,4q24-analyst-model-with-factbook-app.xlsx,
RES-5154702a-2023-2,2023,Site-specific,Baffinland Iron Mines Corporation,Mary River,NU-MAIN-5154702a,-,mining,Open-pit,Iron,Resources,Inferred+Indicated+Measured,1004000,Nt,,,,,,,Reported by Arcelor Mittal,4q24-analyst-model-with-factbook-app.xlsx,
RES-6e9be24e-2023-1,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,mining,"Open-pit, underground, concentrator",Gold,Reserves,Proven,0.29,Mt,3.84,g/t,0.036,Moz,,,,Reserves_2024,
RES-6e9be24e-2023-2,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,mining,"Open-pit, underground, concentrator",Gold,Reserves,Probable,31,Mt,1.6,g/t,1.6,Moz,,,,Reserves_2024.pdf,
RES-6e9be24e-2023-3,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,mining,"Open-pit, underground, concentrator",Gold,Resources,Measured,3.9,Mt,4.37,g/t,0.55,Moz,,,,Reserves_2024.pdf,
RES-6e9be24e-2023-4,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,mining,"Open-pit, underground, concentrator",Gold,Resources,Indicated,60,Mt,1.49,g/t,2.9,Moz,,,,Reserves_2024.pdf,
RES-6e9be24e-2023-5,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,mining,"Open-pit, underground, concentrator",Gold,Resources,Inferred,8.5,Mt,2.3,g/t,0.62,Moz,,,,Reserves_2024.pdf,
RES-6c1d6ee6-2024-1,2024,Site-specific,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,-,mining,"Underground, plant",Diamonds,Reserves,Probable,,Mt,,c/t,,Mct,,,,2024-Annual-Mineral-Resouces-and-Ore-Reserves-.pdf,
RES-91cf5448-2024-1,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,-,mining,Underground,Uranium,Reserves,Proven,322,kt,16.68,% U3O8,118.4,Mlbs U3O8,,98.7,,Reserves_2024,
RES-91cf5448-2024-2,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,-,mining,Underground,Uranium,Reserves,Probable,229.4,kt,14.73,% U3O8,74.5,Mlbs U3O8,,98.7,,Reserves_2024,
RES-91cf5448-2024-3,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,-,mining,Underground,Uranium,Resources,Measured,75.5,kt,4.88,% U3O8,8.1,Mlbs U3O8,,,,Reserves_2024,
RES-91cf5448-2024-4,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,-,mining,Underground,Uranium,Resources,Indicated,141.3,kt,4.95,% U3O8,15.4,Mlbs U3O8,,,,Reserves_2024,
RES-91cf5448-2024-5,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,-,mining,Underground,Uranium,Resources,Inferred,163.4,kt,5.55,% U3O8,20.0,Mlbs U3O8,,,,Reserves_2024,
RES-d3c471e8-2024-1,2024,Site-specific,Cameco Corporation,Key Lake,SK-MAIN-d3c471e8,-,mining,Concentrator,Uranium,Reserves,Proven,61.1,kt,0.52,% U3O8,0.7,Mlbs U3O8,,95.0,,Reserves_2024,
RES-bb89158f-2024-1,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,-,mining,Underground,Uranium,Reserves,Proven,1970.3,kt,6.81,% U3O8,295.8,Mlbs U3O8,,99.2,,Reserves_2024,
RES-bb89158f-2024-2,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,-,mining,Underground,Uranium,Reserves,Probable,520.4,kt,5.56,% U3O8,63.7,Mlbs U3O8,,99.2,,Reserves_2024,
RES-bb89158f-2024-3,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,-,mining,Underground,Uranium,Resources,Measured,71.8,kt,2.28,% U3O8,3.6,Mlbs U3O8,,,,Reserves_2024,
RES-bb89158f-2024-4,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,-,mining,Underground,Uranium,Resources,Indicated,60.3,kt,2.31,% U3O8,3.1,Mlbs U3O8,,,,Reserves_2024,
RES-bb89158f-2024-5,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,-,mining,Underground,Uranium,Resources,Inferred,36.4,kt,2.95,% U3O8,2.4,Mlbs U3O8,,,,Reserves_2024,
RES-ed23117f-2024-1,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Gold,Reserves,Proven,187961,kt,0.34,g/t,2056.0,oz,,,,Reserves_2024.pdf,
RES-ed23117f-2024-2,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Gold,Reserves,Probable,76551,kt,0.31,g/t,770.0,oz,,,,Reserves_2024.pdf,
RES-ed23117f-2024-3,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Copper,Reserves,Proven,-,kt,0.19,%,808.0,Mlbs,,,,Reserves_2024.pdf,
RES-ed23117f-2024-4,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Copper,Reserves,Probable,-,kt,0.2,%,342.0,,,,,Reserves_2024.pdf,
RES-ed23117f-2024-5,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Other metals,Reserves,Proven,187961,kt,,,,,,,,Reserves_2024.pdf,
RES-ed23117f-2024-6,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Other metals,Reserves,Probable,76551,kt,,,,,,,,Reserves_2024.pdf,
RES-ed23117f-2024-7,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Gold,Resources,Measured,91827,kt,0.25,g/t,743.0,koz,,,,Reserves_2024.pdf,
RES-ed23117f-2024-8,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Gold,Resources,Indicated,92144,kt,0.28,g/t,824.0,koz,,,,Reserves_2024.pdf,
RES-ed23117f-2024-9,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Gold,Resources,Inferred,27924,kt,0.44,g/t,395.0,koz,,,,Reserves_2024.pdf,
RES-ed23117f-2024-10,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Other metals,Resources,Measured,91827,kt,,,,,,,,Reserves_2024.pdf,
RES-ed23117f-2024-11,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Other metals,Resources,Indicated,92144,kt,,,,,,,,Reserves_2024.pdf,
RES-ed23117f-2024-12,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Other metals,Resources,Inferred,27924,kt,,,,,,,,Reserves_2024.pdf,
RES-ed23117f-2024-13,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Copper,Resources,Measured,-,kt,0.19,%,384.0,Mlbs,,,,Reserves_2024.pdf,
RES-ed23117f-2024-14,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Copper,Resources,Indicated,-,kt,0.17,%,348.0,Mlbs,,,,Reserves_2024.pdf,
RES-ed23117f-2024-15,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,-,mining,"Open-pit, concentrator",Copper,Resources,Inferred,-,kt,0.12,%,74.0,Mlbs,,,,Reserves_2024.pdf,
RES-089f3c60-2023-1,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Iron,Resources,Measured,186.7,Mt,30.4,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-2,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Calcium oxide,Resources,Measured,186.7,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-3,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Magnesium oxide,Resources,Measured,186.7,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-4,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Aluminum oxide,Resources,Measured,186.7,Mt,0.3,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-5,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Iron,Resources,Indicated,1065.5,Mt,28.4,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-6,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Calcium oxide,Resources,Indicated,1065.5,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-7,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Magnesium oxide,Resources,Indicated,1065.5,Mt,1.2,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-8,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Aluminum oxide,Resources,Indicated,1065.5,Mt,0.5,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-9,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Iron,Resources,Inferred,246.3,Mt,28.7,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-10,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Calcium oxide,Resources,Inferred,246.3,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-11,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Magnesium oxide,Resources,Inferred,246.3,Mt,1.2,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-12,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Aluminum oxide,Resources,Inferred,246.3,Mt,0.5,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-13,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Iron,Reserves,Proven,183.7,Mt,30,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-14,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Calcium oxide,Reserves,Proven,183.7,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-15,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Magnesium oxide,Reserves,Proven,183.7,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-16,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Aluminum oxide,Reserves,Proven,183.7,Mt,0.3,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-17,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Iron,Reserves,Probable,532.5,Mt,28.1,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-18,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Calcium oxide,Reserves,Probable,532.5,Mt,2.1,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-19,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Magnesium oxide,Reserves,Probable,532.5,Mt,2,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-089f3c60-2023-20,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,-,mining,Open-pit,Aluminum oxide,Reserves,Probable,532.5,Mt,0.5,%,,,,,,TR_Bloom_Lake_2023.pdf,
RES-f9e41c2a-2024-1,2024,Site-specific,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,-,mining,"Underground, concentrator",Gold,Reserves,Proven,1360,kt,5.72,g/t,250.0,koz,,,,Data.xlsx,Represents Glencore 77% interest
RES-f9e41c2a-2024-2,2024,Site-specific,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,-,mining,"Underground, concentrator",Gold,Reserves,Probable,4617,kt,6.92,g/t,1027.0,koz,,,,Data.xlsx,Represents Glencore 77% interest
RES-f9e41c2a-2024-3,2024,Site-specific,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,-,mining,"Underground, concentrator",Gold,Resources,Measured,391266,kt,0.94,g/t,11797.0,koz,,,,Data.xlsx,Represents Glencore 77% interest
